,Lat,Lon,Kommun,Lan,Quanity,Date
530,59.59230834995122,18.253059682903277,Vallentuna,Stockholm,20,2021-05-28 00:00:00
531,63.22087982803539,15.739266249828775,Ragunda,Jämtland,1,2021-05-22 12:00:00
532,63.22166923232994,15.739105340251603,Ragunda,Jämtland,84,2021-05-22 12:00:00
533,63.22166923232994,15.739105340251603,Ragunda,Jämtland,12,2021-08-01 00:00:00
534,58.80839830404673,16.76585326962745,Nyköping,Södermanland,1,2022-04-20 00:00:00
535,56.64570916493229,16.50176808126475,Mörbylånga,Kalmar,1,2022-04-23 00:00:00
536,61.507304845106205,16.867902438367018,Hudiksvall,Gävleborg,1,2022-04-28 00:00:00
537,61.50670248649843,16.866886391266373,Hudiksvall,Gävleborg,1,2022-04-28 00:00:00
538,61.50734825647054,16.865781361991516,Hudiksvall,Gävleborg,1,2022-04-28 00:00:00
539,61.50796272647496,16.86754918332972,Hudiksvall,Gävleborg,1,2022-04-28 00:00:00
540,61.50787191813,16.8665317528878,Hudiksvall,Gävleborg,1,2022-04-28 00:00:00
541,61.508124448834764,16.866371292853145,Hudiksvall,Gävleborg,1,2022-04-28 00:00:00
542,61.50777315061938,16.86538257031938,Hudiksvall,Gävleborg,1,2022-04-28 00:00:00
543,61.50769327673896,16.865267150719937,Hudiksvall,Gävleborg,1,2022-04-28 00:00:00
544,56.64508312791147,16.504511332331205,Mörbylånga,Kalmar,1,2022-04-29 00:00:00
545,64.23819841165952,15.36740023807536,Strömsund,Jämtland,1,2021-06-14 00:00:00
546,67.73703788361742,20.89029571290406,Kiruna,Norrbotten,70,2021-07-23 00:00:00
547,64.23781035561021,15.366623124129147,Strömsund,Jämtland,1,2021-06-13 12:00:00
548,56.64536374593128,16.502511549406368,Mörbylånga,Kalmar,1,2022-04-24 00:00:00
549,56.77122118079149,16.293337777305126,Kalmar,Kalmar,1,2019-06-29 00:00:00
550,55.54251302959924,13.321148598822955,Svedala,Skåne,3,2022-04-12 00:00:00
551,64.3083804193934,15.137128310212638,Strömsund,Jämtland,1,2021-06-14 12:00:00
552,59.96650365592069,17.599817189830826,Uppsala,Uppsala,2,2022-05-03 00:00:00
553,64.24720190149739,15.36059743451391,Strömsund,Jämtland,6,2021-07-27 00:00:00
554,59.81797076192839,17.665901665828205,Uppsala,Uppsala,1,2022-05-08 00:00:00
555,67.45316626782972,22.815962321468366,Pajala,Norrbotten,3,2021-07-20 12:00:00
556,67.4194589471744,22.856216399181104,Pajala,Norrbotten,15,2021-07-20 12:00:00
557,67.45233456609672,22.8035984616344,Pajala,Norrbotten,1,2021-07-20 12:00:00
558,67.44800490458863,22.788115075095966,Pajala,Norrbotten,7,2021-07-20 12:00:00
559,67.45789647410727,22.806697810040543,Pajala,Norrbotten,1,2021-07-20 12:00:00
560,67.45789647410727,22.806697810040543,Pajala,Norrbotten,1,2021-07-20 12:00:00
561,56.64570916493229,16.50176808126475,Mörbylånga,Kalmar,2,2022-05-11 00:00:00
562,59.541262745339125,18.13408952066101,Vallentuna,Stockholm,12,2022-05-11 00:00:00
563,59.61419278068745,17.375355933319543,Enköping,Uppsala,1,2022-05-06 00:00:00
564,56.92651777621486,15.632825636190985,Uppvidinge,Kronoberg,30,2022-05-11 00:00:00
565,59.105755438887996,16.509455211300278,Flen,Södermanland,1,2022-05-19 00:00:00
566,59.9478686074302,17.712907089673205,Uppsala,Uppsala,4,2022-05-23 00:00:00
567,59.44872101700648,17.914358930116812,Sollentuna,Stockholm,1,2022-05-24 00:00:00
568,59.541262745339125,18.13408952066101,Vallentuna,Stockholm,56,2022-05-21 12:00:00
569,59.54180389990921,18.13647887269286,Vallentuna,Stockholm,2,2022-05-21 12:00:00
570,59.542532095582246,18.138951976186345,Vallentuna,Stockholm,3,2022-05-21 12:00:00
571,56.7201751801249,15.95707699077691,Nybro,Kalmar,1,2022-06-02 00:00:00
572,58.6886587409051,17.112923343014533,Oxelösund,Södermanland,1,2022-06-01 00:00:00
