Lat,Lon,ssrd_lag1,ssrd_lag2,ssrd_lag3,swvl1_lag1,swvl1_lag2,swvl1_lag3,swvl2_lag1,swvl2_lag2,swvl2_lag3,t2m_lag1,t2m_lag2,t2m_lag3,tp_lag1,tp_lag2,tp_lag3,valid_time
57.2,15.0,15285548.0,41812756.0,104835460.0,0.25749263,0.25052693,0.23848158,0.26166674,0.25203246,0.23476976,277.4058,277.48962,283.07123,0.014741742,0.012308304,0.020330962,2025-12-01
57.2,15.1,15442950.0,42410388.0,105552240.0,0.25637987,0.24836324,0.235546,0.26034886,0.24921417,0.23077737,277.3967,277.43707,283.04068,0.014323116,0.011881162,0.020437349,2025-12-01
57.2,15.2,15631278.0,43060056.0,106414270.0,0.2560747,0.24835053,0.23661706,0.2601143,0.24924164,0.23150684,277.44052,277.47723,283.07016,0.01400403,0.01187781,0.02104498,2025-12-01
57.2,15.3,15819646.0,43709904.0,107277490.0,0.25579438,0.24843903,0.23746416,0.2599233,0.24941254,0.23207092,277.497,277.53397,283.12195,0.013686963,0.011876811,0.021655228,2025-12-01
57.2,15.4,16008004.0,44359740.0,108139870.0,0.25520834,0.24814555,0.23685184,0.2593542,0.24903463,0.23102151,277.57523,277.61975,283.21582,0.013371163,0.011875977,0.022270221,2025-12-01
57.2,15.5,16209472.0,45027050.0,109017640.0,0.25458273,0.24778391,0.2359437,0.25868112,0.24842122,0.22955322,277.67996,277.7277,283.3526,0.0131895775,0.012026546,0.02285539,2025-12-01
57.2,15.6,16507418.0,45836250.0,110432730.0,0.2548133,0.24908243,0.23701969,0.25907558,0.24988556,0.23080838,277.842,277.8712,283.5839,0.0133134285,0.012705256,0.023404371,2025-12-01
57.2,15.7,16807532.0,46660910.0,111878260.0,0.2550484,0.25023296,0.23757295,0.25949097,0.2511922,0.23147632,277.99188,277.99423,283.8005,0.013522604,0.013255906,0.023879323,2025-12-01
57.2,15.8,17120638.0,47492520.0,113369576.0,0.25459063,0.25051016,0.23612829,0.25901455,0.25113118,0.22941737,278.14893,278.1187,284.02103,0.013706052,0.014033464,0.024422284,2025-12-01
57.2,15.9,17426498.0,48317160.0,114827110.0,0.2542736,0.2506531,0.23498634,0.25868,0.25104523,0.22776204,278.29086,278.2337,284.20737,0.013894559,0.014698689,0.024856474,2025-12-01
57.2,16.0,17719206.0,49129480.0,116220850.0,0.25390172,0.2502589,0.23349687,0.25822675,0.25035757,0.22565535,278.42316,278.35764,284.3654,0.014092521,0.015149337,0.025079664,2025-12-01
57.2,16.1,17983774.0,49916090.0,117479960.0,0.25247872,0.24810892,0.22987218,0.25626513,0.24713592,0.22087786,278.54462,278.4991,284.4788,0.014316284,0.015139026,0.024831813,2025-12-01
57.2,16.2,18221598.0,50678028.0,118609920.0,0.250191,0.24464975,0.22461775,0.25305742,0.24192709,0.21410197,278.66144,278.66312,284.55975,0.014564298,0.014688176,0.024134647,2025-12-01
57.2,16.3,18459428.0,51439790.0,119739590.0,0.24521269,0.23924764,0.20987578,0.24653569,0.23430125,0.19915673,278.78485,278.82483,284.6716,0.014806628,0.014235389,0.023442347,2025-12-01
57.2,16.4,18696798.0,52201230.0,120869360.0,0.237906,0.23201752,0.18627487,0.23723122,0.22430521,0.17640342,278.9116,278.98663,284.81015,0.015049189,0.013782446,0.02275097,2025-12-01
57.2,16.5,18779120.0,52494944.0,121394220.0,0.23512776,0.22912394,0.1760692,0.23369853,0.22035065,0.16667815,278.9638,279.04718,284.8748,0.015148185,0.0136048095,0.02238946,2025-12-01
57.2,17.0,19995666.0,54108856.0,125742000.0,0.35712066,0.3525182,0.29348606,0.35570216,0.3463506,0.2730836,279.3357,279.90265,284.43002,0.026977554,0.021353062,0.033429388,2025-12-01
57.2,18.3,19762954.0,53694972.0,123540880.0,0.36470935,0.36035666,0.3316414,0.3605827,0.35519308,0.3172883,279.36615,280.43213,284.4,0.022479739,0.017828997,0.027481478,2025-12-01
57.2,18.4,19774874.0,53707480.0,123805040.0,0.3627551,0.3581258,0.32855076,0.35785815,0.35261434,0.313702,279.33765,280.41208,284.41528,0.022098448,0.016897123,0.026595686,2025-12-01
57.2,21.5,18829096.0,48633240.0,121638540.0,0.34263384,0.33318228,0.3117218,0.3411673,0.32790324,0.29729438,278.03696,279.58435,284.0392,0.015967887,0.015803125,0.03286805,2025-12-01
57.2,21.6,18854544.0,48607704.0,121673870.0,0.37389457,0.36323956,0.342611,0.37158656,0.3572413,0.32641256,277.96628,279.49164,284.00748,0.015465089,0.014517439,0.03159198,2025-12-01
57.2,21.7,18812248.0,48463092.0,121736024.0,0.3748785,0.3638428,0.34292948,0.3732605,0.3588562,0.3290041,277.8189,279.2899,283.92834,0.015060186,0.013901335,0.030993415,2025-12-01
57.2,21.8,18769892.0,48318548.0,121797890.0,0.3763292,0.36514637,0.34540632,0.37559,0.361468,0.33397847,277.67337,279.0904,283.84915,0.014658719,0.013288599,0.03039777,2025-12-01
57.2,21.9,18727932.0,48173630.0,121857920.0,0.37942222,0.37002105,0.35567597,0.38029537,0.36939442,0.34905317,277.54144,278.90115,283.7743,0.01425828,0.012672205,0.029801657,2025-12-01
57.2,22.0,18701938.0,48058492.0,122009060.0,0.38030103,0.3716319,0.36032596,0.38197383,0.3727071,0.35679528,277.42468,278.74716,283.72205,0.01387056,0.012256128,0.02934826,2025-12-01
57.2,22.1,18733308.0,48051016.0,122485600.0,0.38006422,0.37153828,0.36247942,0.3820213,0.37319487,0.36036387,277.36102,278.71246,283.72754,0.013518997,0.012559827,0.029408677,2025-12-01
57.2,22.2,18771126.0,48055144.0,122998630.0,0.3795347,0.3708196,0.3605893,0.38122502,0.37203166,0.35749373,277.2954,278.65594,283.7225,0.013167538,0.012943815,0.029531596,2025-12-01
57.2,22.3,18813560.0,48066680.0,123537060.0,0.37313446,0.36253205,0.3443884,0.37224495,0.3600535,0.3354251,277.20804,278.54514,283.65955,0.012816675,0.013385322,0.029698795,2025-12-01
57.2,22.4,18854610.0,48076104.0,124061370.0,0.37057608,0.35948995,0.33852658,0.36875802,0.35578564,0.3273975,277.1135,278.43448,283.55655,0.012478247,0.013757851,0.029855689,2025-12-01
57.2,22.5,18890044.0,48077050.0,124575656.0,0.37151083,0.36106008,0.3405501,0.37026864,0.358137,0.33011454,277.00824,278.31488,283.40912,0.012167983,0.014066201,0.030050604,2025-12-01
