Lat,Lon,ssrd_lag1,ssrd_lag2,ssrd_lag3,swvl1_lag1,swvl1_lag2,swvl1_lag3,swvl2_lag1,swvl2_lag2,swvl2_lag3,t2m_lag1,t2m_lag2,t2m_lag3,tp_lag1,tp_lag2,tp_lag3,valid_time
55.0,24.300000000000097,18413064.0,52374404.0,118672590.0,0.4010156,0.38730368,0.37390432,0.4011701,0.39091137,0.3692991,276.23172,277.68155,283.12415,0.014985079,0.022279335,0.071969494,2025-12-01
55.0,24.400000000000098,18490686.0,52258750.0,118397576.0,0.397611,0.38281047,0.37124634,0.39852205,0.3869929,0.3660613,276.16727,277.66006,283.07123,0.015034603,0.022405235,0.07250366,2025-12-01
55.0,24.5,18619262.0,52173010.0,118038300.0,0.39803568,0.38246968,0.37505218,0.39888573,0.38619995,0.37068373,276.06155,277.597,282.9674,0.015283162,0.021859435,0.0733759,2025-12-01
55.100000000000186,10.5,22233282.0,57840144.0,112673860.0,0.3760929,0.37002462,0.35564545,0.37794176,0.36582386,0.34065935,279.73978,280.7536,285.52795,0.014332044,0.021260908,0.07089153,2025-12-01
55.100000000000186,10.6,22311172.0,57935624.0,113055256.0,0.3738028,0.3673233,0.35159054,0.3747476,0.36191458,0.3360064,279.7079,280.7271,285.50772,0.013822655,0.020635163,0.069697134,2025-12-01
55.100000000000186,11.799999999999995,24104148.0,59982084.0,118741860.0,0.36474863,0.36156565,0.33614817,0.36448607,0.35616252,0.322085,279.5138,280.62192,285.46713,0.009996603,0.01455043,0.0559114,2025-12-01
55.100000000000186,11.899999999999995,24090562.0,59978864.0,118887600.0,0.3658956,0.3630061,0.3408321,0.36613336,0.35799763,0.32689887,279.53226,280.604,285.47043,0.009699459,0.014197466,0.05479524,2025-12-01
55.100000000000186,11.999999999999995,24198672.0,60041320.0,119244010.0,0.36620903,0.36447805,0.3451868,0.36694208,0.3599996,0.33129588,279.55905,280.596,285.43695,0.0097084,0.014551853,0.054155257,2025-12-01
55.100000000000186,12.099999999999994,24186066.0,59976336.0,119291150.0,0.36247954,0.36063638,0.33873183,0.36229324,0.35529888,0.32283562,279.5776,280.59164,285.44464,0.0095317615,0.014139053,0.054000642,2025-12-01
55.100000000000186,14.899999999999984,25471576.0,65126704.0,134700740.0,0.36365762,0.3697296,0.351342,0.36370277,0.36536762,0.3342172,279.49744,280.57993,284.78488,0.010476912,0.027192762,0.057009313,2025-12-01
55.100000000000186,14.999999999999984,25533962.0,65069864.0,135051790.0,0.36038652,0.36735433,0.34247515,0.35969543,0.3623398,0.32439595,279.52356,280.6253,284.8365,0.010604094,0.027505366,0.05719881,2025-12-01
55.100000000000186,15.099999999999984,25669690.0,65117936.0,135452940.0,0.35639063,0.3640396,0.33091488,0.35481706,0.3583435,0.31197628,279.55588,280.70245,284.93533,0.010805915,0.027803158,0.057917316,2025-12-01
55.100000000000186,21.300000000000054,20639980.0,59142480.0,132904690.0,0.34927368,0.33392844,0.3318885,0.34951782,0.33823597,0.33163354,277.38806,278.47113,284.0527,0.022457426,0.015132603,0.050212994,2025-12-01
55.100000000000186,21.400000000000055,20538028.0,59350890.0,132980184.0,0.39543724,0.38067728,0.38040802,0.39551163,0.38468832,0.37939897,277.3892,278.43338,284.09094,0.021181865,0.014434976,0.049093194,2025-12-01
55.100000000000186,21.500000000000057,20415882.0,59704044.0,133213040.0,0.39371872,0.38045654,0.37604448,0.3934606,0.3844518,0.37355337,277.41272,278.4264,284.15988,0.018448899,0.0138921635,0.04733821,2025-12-01
55.100000000000186,21.60000000000006,20291372.0,59936570.0,132941900.0,0.39288583,0.3805354,0.3737404,0.39242426,0.3846232,0.37051934,277.4177,278.41226,284.20245,0.01673224,0.013674078,0.046634942,2025-12-01
55.100000000000186,21.70000000000006,20168288.0,60009704.0,131982424.0,0.3930613,0.38060406,0.37194234,0.39251646,0.38470662,0.36809614,277.39474,278.40048,284.21954,0.016271027,0.013975013,0.047382466,2025-12-01
55.100000000000186,21.80000000000006,20014446.0,59988990.0,131005550.0,0.3934002,0.38043925,0.37461165,0.3927854,0.3845515,0.3721525,277.35657,278.35532,284.19748,0.015689451,0.014147084,0.048302054,2025-12-01
55.100000000000186,21.900000000000063,19852378.0,59946540.0,130034380.0,0.39370218,0.38018647,0.3777136,0.39303526,0.38435975,0.3769118,277.31253,278.30145,284.1661,0.015054355,0.014274765,0.049244724,2025-12-01
55.100000000000186,22.000000000000064,19666340.0,59786016.0,128979944.0,0.39383635,0.38017476,0.37688914,0.39306512,0.38446555,0.37576786,277.25793,278.24338,284.12704,0.014468784,0.014498014,0.050109915,2025-12-01
55.100000000000186,22.100000000000065,19472850.0,59562840.0,127848264.0,0.39398447,0.38023275,0.37617543,0.39315924,0.38463593,0.3748218,277.20627,278.19125,284.08768,0.014010261,0.014867868,0.050871924,2025-12-01
55.100000000000186,22.200000000000067,19263926.0,59212310.0,126543896.0,0.39388084,0.38070932,0.36857212,0.39308867,0.38526407,0.36394575,277.1318,278.15628,284.05814,0.013843487,0.015562113,0.051488705,2025-12-01
55.100000000000186,22.300000000000068,19054348.0,58865470.0,125231950.0,0.392725,0.37849018,0.35723877,0.39116096,0.381722,0.34772074,277.05594,278.12073,284.04495,0.013698841,0.016274106,0.052162394,2025-12-01
55.100000000000186,22.40000000000007,18855656.0,58714084.0,123987820.0,0.39252853,0.37625986,0.3506893,0.39041075,0.37865803,0.33834642,276.99997,278.0997,284.0182,0.013587834,0.01687717,0.053887792,2025-12-01
55.100000000000186,22.50000000000007,18679630.0,58440412.0,123001820.0,0.39358076,0.37707722,0.35126472,0.39169693,0.3799642,0.33917433,276.94193,278.07346,283.96866,0.013653541,0.017467503,0.055288374,2025-12-01
55.100000000000186,22.600000000000072,18561684.0,58022200.0,122629340.0,0.39475694,0.37891743,0.35511878,0.39322343,0.38270518,0.34449768,276.89197,278.04312,283.92337,0.014133351,0.017967548,0.056633137,2025-12-01
55.100000000000186,22.700000000000074,18469854.0,57542110.0,122451800.0,0.3994268,0.38545227,0.36152747,0.39782143,0.38869986,0.3539921,276.84158,278.00354,283.88007,0.014582733,0.018444521,0.057712287,2025-12-01
55.100000000000186,22.800000000000075,18378038.0,57073070.0,122231304.0,0.4030806,0.39016724,0.36530524,0.40122795,0.39263713,0.3597097,276.78992,277.96143,283.84726,0.01490465,0.018925695,0.058702454,2025-12-01
55.100000000000186,22.900000000000077,18288442.0,56621772.0,121913490.0,0.4032116,0.389592,0.36258328,0.4012502,0.39202932,0.35634884,276.74954,277.9191,283.81573,0.014980504,0.019397749,0.059533045,2025-12-01
55.100000000000186,23.000000000000078,18204494.0,56158710.0,121594010.0,0.40331206,0.3889343,0.35992235,0.40122223,0.3912786,0.35304013,276.70163,277.87967,283.77518,0.015112447,0.019849641,0.06041707,2025-12-01
55.100000000000186,23.10000000000008,18147868.0,55646040.0,121266080.0,0.40418562,0.39019978,0.3656055,0.40234885,0.39279684,0.36013007,276.65808,277.8376,283.69357,0.015494699,0.020218192,0.06153395,2025-12-01
55.100000000000186,23.20000000000008,18083210.0,55104520.0,120936890.0,0.40471205,0.3908839,0.36921743,0.40305647,0.3936081,0.36446553,276.61072,277.79904,283.61426,0.015796112,0.020545227,0.06259623,2025-12-01
55.100000000000186,23.300000000000082,17951174.0,54390280.0,120603330.0,0.40569305,0.3916575,0.37437242,0.40423837,0.39454955,0.3707487,276.54074,277.74393,283.5372,0.015419947,0.02061767,0.06319582,2025-12-01
55.100000000000186,23.400000000000084,17863518.0,53801172.0,120317930.0,0.40636,0.39242554,0.37805274,0.4051145,0.395519,0.3753544,276.48898,277.6969,283.46255,0.015284533,0.020750603,0.06391983,2025-12-01
55.100000000000186,23.500000000000085,17812346.0,53331304.0,120131240.0,0.40590668,0.3919398,0.37510583,0.40465674,0.39495748,0.3716544,276.45358,277.66208,283.4119,0.015084038,0.020797579,0.064516805,2025-12-01
55.100000000000186,23.600000000000087,17817506.0,53040144.0,120009880.0,0.40596834,0.39194793,0.3751826,0.40476927,0.3949773,0.37191132,276.43713,277.65256,283.38474,0.015053125,0.020845262,0.06516165,2025-12-01
55.100000000000186,23.700000000000088,17834586.0,52801812.0,119860490.0,0.4062036,0.3920873,0.37660167,0.40503883,0.395135,0.37358093,276.4359,277.66052,283.378,0.015017116,0.020874588,0.06581799,2025-12-01
55.100000000000186,23.80000000000009,17842900.0,52573856.0,119586024.0,0.40551695,0.3906723,0.37128767,0.40423012,0.39354655,0.36701718,276.43796,277.68134,283.3889,0.014838951,0.020857593,0.06647568,2025-12-01
55.100000000000186,23.90000000000009,17861300.0,52373950.0,119315930.0,0.40509796,0.38977662,0.36845547,0.40374628,0.39252725,0.36323795,276.43484,277.7039,283.38727,0.014667349,0.020836381,0.067124516,2025-12-01
55.100000000000186,24.000000000000092,17968594.0,52426624.0,119088160.0,0.4053707,0.3904775,0.37180647,0.4041907,0.39331564,0.3667327,276.37708,277.6904,283.3127,0.014548132,0.020770153,0.067719296,2025-12-01
55.100000000000186,24.100000000000094,18081924.0,52491680.0,118863330.0,0.40482712,0.38995972,0.37233317,0.4038938,0.39297232,0.367093,276.31058,277.67023,283.2286,0.014444115,0.02073053,0.06829495,2025-12-01
55.100000000000186,24.200000000000095,18166256.0,52443770.0,118623060.0,0.40073776,0.38429362,0.36700538,0.40075937,0.38841859,0.36100474,276.24313,277.65445,283.16925,0.014406854,0.020903496,0.068786316,2025-12-01
55.100000000000186,24.300000000000097,18261590.0,52418350.0,118374104.0,0.4002069,0.38368735,0.36769497,0.40038934,0.38773957,0.361716,276.1869,277.63748,283.11066,0.014385754,0.020954056,0.069333844,2025-12-01
55.100000000000186,24.400000000000098,18346308.0,52307010.0,118087800.0,0.40011278,0.3834137,0.37211066,0.40030035,0.38707632,0.36696255,276.1262,277.61502,283.05887,0.014468366,0.020974984,0.06991576,2025-12-01
55.100000000000186,24.5,18462806.0,52214330.0,117749660.0,0.398496,0.3802709,0.37409875,0.39912668,0.38404033,0.3691101,276.03488,277.55902,282.97565,0.014664868,0.020601576,0.07070559,2025-12-01
55.20000000000019,10.5,22014292.0,57674290.0,113928550.0,0.37232527,0.36303252,0.3475184,0.37231827,0.3576594,0.3301234,279.78894,280.65967,285.55698,0.013223882,0.018829165,0.067560084,2025-12-01
55.20000000000019,10.6,22049796.0,57675964.0,113919920.0,0.37099585,0.361762,0.34513706,0.3704268,0.35556385,0.32750234,279.7861,280.65817,285.56686,0.0128654195,0.01861683,0.06703175,2025-12-01
55.20000000000019,10.7,22012994.0,57625536.0,114086700.0,0.37017503,0.36042684,0.3431362,0.3691832,0.35385486,0.3250117,279.80856,280.65628,285.59833,0.012529771,0.01813185,0.066287875,2025-12-01
55.20000000000019,11.299999999999997,22849772.0,58616564.0,115569790.0,0.37658563,0.368248,0.34758192,0.37866274,0.36392415,0.33572042,279.56165,280.7189,285.50742,0.014240201,0.018085066,0.06378809,2025-12-01
55.20000000000019,11.399999999999997,22849772.0,58616564.0,115569790.0,0.37658563,0.368248,0.34758192,0.37866274,0.36392415,0.33572042,279.56165,280.7189,285.50742,0.014240201,0.018085066,0.06378809,2025-12-01
55.20000000000019,11.499999999999996,23129434.0,59070016.0,116609390.0,0.373134,0.36531678,0.34450653,0.37422752,0.36015624,0.33122253,279.5763,280.69006,285.59106,0.011987816,0.015648384,0.05877238,2025-12-01
