Lat,Lon,ssrd_lag1,ssrd_lag2,ssrd_lag3,swvl1_lag1,swvl1_lag2,swvl1_lag3,swvl2_lag1,swvl2_lag2,swvl2_lag3,t2m_lag1,t2m_lag2,t2m_lag3,tp_lag1,tp_lag2,tp_lag3,Month
66.2,19.8,627268.0,13470758.0,57873004.0,0.22742541134357452,0.24566395580768585,0.266452431678772,0.2239253669977188,0.2497248351573944,0.2677735388278961,268.1852722167969,266.6408386230469,277.8424072265625,0.025322459638118744,0.022899825125932693,0.04072900861501694,2025-12-01
66.2,19.9,624322.0,13447622.0,58086348.0,0.2269655466079712,0.245198056101799,0.26645439863204956,0.22372804582118988,0.24950510263442993,0.2677129805088043,268.2627258300781,266.7687683105469,277.956298828125,0.025169722735881805,0.02294963411986828,0.04015316069126129,2025-12-01
66.2,20.0,622178.0,13425930.0,58247276.0,0.2267734855413437,0.2449386566877365,0.2662776708602905,0.22369174659252167,0.24935811758041382,0.26749444007873535,268.2811279296875,266.8863525390625,278.0386047363281,0.02486531436443329,0.02296004258096218,0.039500683546066284,2025-12-01
66.2,20.1,620604.0,13406218.0,58348800.0,0.22671034932136536,0.24489542841911316,0.2659311592578888,0.22378434240818024,0.24933522939682007,0.26714643836021423,268.243408203125,267.0058898925781,278.1015319824219,0.024386024102568626,0.022921351715922356,0.03875596076250076,2025-12-01
66.2,20.2,618988.0,13386674.0,58438648.0,0.22671350836753845,0.2448165863752365,0.26552754640579224,0.223907470703125,0.24931436777114868,0.2667354345321655,268.2113342285156,267.1064147949219,278.19207763671875,0.023872366175055504,0.02287217043340206,0.037991806864738464,2025-12-01
66.2,20.3,617324.0,13367654.0,58508640.0,0.22658249735832214,0.24447987973690033,0.2650121748447418,0.22388853132724762,0.2492111176252365,0.26619598269462585,268.2094421386719,267.06866455078125,278.3537902832031,0.023301316425204277,0.022807566449046135,0.03719313442707062,2025-12-01
66.2,20.4,615594.0,13348428.0,58578280.0,0.22640307247638702,0.244110107421875,0.2644948661327362,0.2238285392522812,0.2490946501493454,0.2656540274620056,268.2111511230469,267.0117492675781,278.5195007324219,0.022730601951479912,0.022742753848433495,0.036393262445926666,2025-12-01
66.2,20.5,613952.0,13330092.0,58649936.0,0.2263367772102356,0.24380341172218323,0.2638402283191681,0.22399218380451202,0.24897867441177368,0.2649521231651306,268.248046875,267.0470886230469,278.73516845703125,0.0221992339938879,0.022719083353877068,0.03566773980855942,2025-12-01
66.2,20.6,612870.0,13314768.0,58725800.0,0.22676244378089905,0.24359232187271118,0.2629202604293823,0.2245998978614807,0.248870849609375,0.2639283239841461,268.33209228515625,267.20269775390625,278.99530029296875,0.02172890119254589,0.022745324298739433,0.03499174863100052,2025-12-01
66.2,20.7,611896.0,13299426.0,58802780.0,0.22714127600193024,0.24339498579502106,0.2621031701564789,0.22514869272708893,0.24876759946346283,0.2630270719528198,268.4083251953125,267.3504943847656,279.23760986328125,0.02128504030406475,0.022809533402323723,0.034382909536361694,2025-12-01
66.2,20.8,612664.0,13293630.0,58897836.0,0.22703972458839417,0.24319306015968323,0.2623128592967987,0.22509029507637024,0.2486017793416977,0.26336225867271423,268.4215393066406,267.4163818359375,279.28631591796875,0.02108789049088955,0.023109911009669304,0.03410886973142624,2025-12-01
66.2,20.9,613610.0,13293180.0,58995220.0,0.22688977420330048,0.24289551377296448,0.2626229524612427,0.22496452927589417,0.248371884226799,0.2638367712497711,268.4403381347656,267.4707336425781,279.3089294433594,0.02090233378112316,0.023346995934844017,0.03366705775260925,2025-12-01
66.2,21.0,614628.0,13291412.0,59091916.0,0.2263667732477188,0.24261373281478882,0.2629674971103668,0.2245572805404663,0.24814757704734802,0.26433539390563965,268.45892333984375,267.58355712890625,279.2847595214844,0.020722990855574608,0.02361484430730343,0.033265694975852966,2025-12-01
66.2,21.1,615898.0,13289840.0,59188568.0,0.22558173537254333,0.24231161177158356,0.2629365026950836,0.22388221323490143,0.24786581099033356,0.2644938826560974,268.395263671875,267.58721923828125,279.18060302734375,0.020533552393317223,0.023857373744249344,0.032831598073244095,2025-12-01
66.2,21.2,617126.0,13288102.0,59284716.0,0.22479721903800964,0.2420089691877365,0.2628951668739319,0.2232082039117813,0.24758046865463257,0.26464399695396423,268.3296203613281,267.58538818359375,279.07525634765625,0.02034359984099865,0.024098332971334457,0.032395657151937485,2025-12-01
66.2,21.3,618402.0,13287438.0,59390328.0,0.2252870798110962,0.24180297553539276,0.26256439089775085,0.2234828621149063,0.24732309579849243,0.2644234895706177,268.2835388183594,267.5274963378906,279.06549072265625,0.02029598318040371,0.024334724992513657,0.03211861476302147,2025-12-01
66.2,21.4,619832.0,13288378.0,59514408.0,0.22634677588939667,0.2417093962430954,0.2622700333595276,0.22436313331127167,0.24716441333293915,0.26419708132743835,268.29364013671875,267.5917663574219,279.141845703125,0.02051353268325329,0.024565991014242172,0.03214232996106148,2025-12-01
66.2,21.5,621138.0,13289074.0,59640168.0,0.22748538851737976,0.2416280061006546,0.2619806230068207,0.2253054976463318,0.24702046811580658,0.2639745771884918,268.30865478515625,267.66278076171875,279.23126220703125,0.020761726424098015,0.02479640021920204,0.0322013683617115,2025-12-01
66.2,21.6,622184.0,13289466.0,59774432.0,0.2284335494041443,0.24158985912799835,0.262234091758728,0.22637887299060822,0.24688720703125,0.2643727958202362,268.37945556640625,267.8288879394531,279.33856201171875,0.02114434354007244,0.025023069232702255,0.032415036112070084,2025-12-01
66.2,21.7,623210.0,13289630.0,59908796.0,0.22920016944408417,0.24155527353286743,0.26268988847732544,0.22742488980293274,0.24673716723918915,0.26500874757766724,268.46551513671875,268.02294921875,279.4355163574219,0.02153897099196911,0.02525009587407112,0.032643768936395645,2025-12-01
66.2,21.8,624482.0,13289710.0,60037464.0,0.22961951792240143,0.24152018129825592,0.26300737261772156,0.22810889780521393,0.24659524857997894,0.26549750566482544,268.4709777832031,268.1094665527344,279.4598388671875,0.021925827488303185,0.025458429008722305,0.032851431518793106,2025-12-01
66.2,21.9,625842.0,13289630.0,60152212.0,0.23016883432865143,0.24151712656021118,0.2625146806240082,0.22846826910972595,0.246429443359375,0.26509734988212585,268.293701171875,267.9195556640625,279.3243713378906,0.022256335243582726,0.02559441700577736,0.03289477899670601,2025-12-01
66.2,22.0,627150.0,13289320.0,60266400.0,0.23072025179862976,0.24151407182216644,0.2620244324207306,0.22882448136806488,0.2462671846151352,0.2646966874599457,268.11651611328125,267.7294616699219,279.1885986328125,0.022586999461054802,0.025730770081281662,0.03293890878558159,2025-12-01
66.2,22.1,628212.0,13288722.0,60287024.0,0.23082706332206726,0.241627499461174,0.2615641951560974,0.22914597392082214,0.24623972177505493,0.26427730917930603,268.00311279296875,267.6102600097656,279.0842590332031,0.022673269733786583,0.025513973087072372,0.032345522195100784,2025-12-01
66.2,22.2,629382.0,13291216.0,60351856.0,0.2309138923883438,0.2420557588338852,0.26122406125068665,0.22967055439949036,0.2464497834444046,0.2639893591403961,267.9201354980469,267.49658203125,279.0016174316406,0.022744497284293175,0.025217626243829727,0.031492285430431366,2025-12-01
