row_id,Lat,Lon
577,67.7,22.9
578,67.7,23.0
579,67.7,23.1
580,67.7,23.2
581,67.7,23.3
582,67.7,23.4
583,67.7,23.5
584,67.6,16.4
585,67.6,16.5
586,67.6,16.6
587,67.6,16.7
588,67.6,16.8
589,67.6,16.9
590,67.6,17.0
591,67.6,17.1
592,67.6,17.2
593,67.6,17.3
594,67.6,17.4
595,67.6,17.5
596,67.6,17.6
597,67.6,17.7
598,67.6,17.8
599,67.6,17.9
600,67.6,18.0
601,67.6,18.1
602,67.6,18.2
603,67.6,18.3
604,67.6,18.4
605,67.6,18.5
606,67.6,18.6
607,67.6,18.7
608,67.6,18.8
609,67.6,18.9
610,67.6,19.0
611,67.6,19.1
612,67.6,19.2
613,67.6,19.3
614,67.6,19.4
615,67.6,19.5
616,67.6,19.6
617,67.6,19.7
618,67.6,19.8
619,67.6,19.9
620,67.6,20.0
621,67.6,20.1
622,67.6,20.2
623,67.6,20.3
624,67.6,20.4
625,67.6,20.5
626,67.6,20.6
627,67.6,20.7
628,67.6,20.8
629,67.6,20.9
630,67.6,21.0
631,67.6,21.1
632,67.6,21.2
633,67.6,21.3
634,67.6,21.4
635,67.6,21.5
636,67.6,21.6
637,67.6,21.7
638,67.6,21.8
639,67.6,21.9
640,67.6,22.0
641,67.6,22.1
642,67.6,22.2
643,67.6,22.3
644,67.6,22.4
645,67.6,22.5
646,67.6,22.6
647,67.6,22.7
648,67.6,22.8
649,67.6,22.9
650,67.6,23.0
651,67.6,23.1
652,67.6,23.2
653,67.6,23.3
654,67.6,23.4
655,67.6,23.5
656,67.5,16.3
657,67.5,16.4
658,67.5,16.5
659,67.5,16.6
660,67.5,16.7
661,67.5,16.8
662,67.5,16.9
663,67.5,17.0
664,67.5,17.1
665,67.5,17.2
666,67.5,17.3
667,67.5,17.4
668,67.5,17.5
669,67.5,17.6
670,67.5,17.7
671,67.5,17.8
672,67.5,17.9
673,67.5,18.0
674,67.5,18.1
675,67.5,18.2
676,67.5,18.3
677,67.5,18.4
678,67.5,18.5
679,67.5,18.6
680,67.5,18.7
681,67.5,18.8
682,67.5,18.9
683,67.5,19.0
684,67.5,19.1
685,67.5,19.2
686,67.5,19.3
687,67.5,19.4
688,67.5,19.5
689,67.5,19.6
690,67.5,19.7
691,67.5,19.8
692,67.5,19.9
693,67.5,20.0
694,67.5,20.1
695,67.5,20.2
696,67.5,20.3
697,67.5,20.4
698,67.5,20.5
699,67.5,20.6
700,67.5,20.7
701,67.5,20.8
702,67.5,20.9
703,67.5,21.0
704,67.5,21.1
705,67.5,21.2
706,67.5,21.3
707,67.5,21.4
708,67.5,21.5
709,67.5,21.6
710,67.5,21.7
711,67.5,21.8
712,67.5,21.9
713,67.5,22.0
714,67.5,22.1
715,67.5,22.2
716,67.5,22.3
717,67.5,22.4
718,67.5,22.5
719,67.5,22.6
720,67.5,22.7
721,67.5,22.8
722,67.5,22.9
723,67.5,23.0
724,67.5,23.1
725,67.5,23.2
726,67.5,23.3
727,67.5,23.4
728,67.5,23.5
729,67.4,16.2
730,67.4,16.3
731,67.4,16.4
732,67.4,16.5
733,67.4,16.6
734,67.4,16.7
735,67.4,16.8
736,67.4,16.9
737,67.4,17.0
738,67.4,17.1
739,67.4,17.2
740,67.4,17.3
741,67.4,17.4
742,67.4,17.5
743,67.4,17.6
744,67.4,17.7
745,67.4,17.8
746,67.4,17.9
747,67.4,18.0
748,67.4,18.1
749,67.4,18.2
750,67.4,18.3
751,67.4,18.4
752,67.4,18.5
753,67.4,18.6
754,67.4,18.7
755,67.4,18.8
756,67.4,18.9
757,67.4,19.0
758,67.4,19.1
