row_id,Lat,Lon,Month,NDVI,NDVI_clim,NDVI_anom,NDVI_lag1,NDVI_anom_lag1,NDVI_lag2,NDVI_anom_lag2
4030,59.888634864450786,17.82237279915743,2024-05-01,0.8321500000000001,0.7716625,0.0604875,0.5191,0.0034124999999999,0.5191,0.0034124999999999
4031,59.88900428208558,17.8222879841894,2024-05-01,0.8321500000000001,0.7716625,0.0604875,0.8321500000000001,0.0604875,0.5191,0.0034124999999999
4032,59.888174422083225,17.82195184032926,2024-05-01,0.7917000000000001,0.7511875,0.0405125,0.54105,0.0075312499999999,0.54105,0.0075312499999999
4033,59.88821385301465,17.82172196710601,2024-05-01,0.7917000000000001,0.7511875,0.0405125,0.7917000000000001,0.0405125,0.54105,0.0075312499999999
4034,59.889113800813384,17.818060192477073,2024-05-01,0.82615,0.77901875,0.04713125,0.5241,-0.00460625,0.49285,0.0511
4035,58.96172347426237,15.354551939497316,2024-07-01,0.83855,0.84068125,-0.00213125,0.78635,-0.01296875,0.78635,-0.01296875
4036,60.69113899841116,17.07267001621699,2024-07-01,0.8600500000000001,0.84635,0.0137,0.8225,-0.0038875,0.77875,0.01671875
4037,58.962754268390185,15.356676217877263,2024-07-01,0.83855,0.84068125,-0.00213125,0.83855,-0.00213125,0.78635,-0.01296875
4038,59.045349011062854,15.09022571158871,2024-06-01,0.7708,0.798525,-0.027725,0.77505,0.0320187499999999,0.662,-0.00551875
4039,59.042649138360446,15.092267844455922,2024-06-01,0.7813,0.8072750000000001,-0.025975,0.7814,0.0155249999999999,0.7814,0.0155249999999999
4040,59.042525772615065,15.09268850213748,2024-06-01,0.7813,0.8072750000000001,-0.025975,0.7813,-0.025975,0.7814,0.0155249999999999
4041,59.40850989854977,16.0812238336297,2024-06-01,0.7711,0.7747875,-0.0036874999999999,0.76285,0.04900625,0.5598500000000001,0.0310875
4042,65.96903984450557,20.141553665660055,2024-06-01,0.7638,0.76250625,0.0012937499999999,0.7638,0.0012937499999999,0.6635,0.0193437499999999
4043,63.60885041894377,19.301763343451608,2024-06-01,0.8259000000000001,0.80005,0.02585,0.6846,0.0255937499999999,0.6846,0.0255937499999999
4044,63.60934556620852,19.300976726665382,2024-06-01,0.8259000000000001,0.80005,0.02585,0.8259000000000001,0.02585,0.6846,0.0255937499999999
4045,63.611809202894925,19.296799595805748,2024-06-01,0.79415,0.766625,0.027525,0.79415,0.027525,0.6219,-0.00130625
4046,60.65086717998982,15.384618173919852,2024-05-01,0.75495,0.720175,0.034775,0.6706000000000001,0.037725,0.48835,0.0100874999999999
4047,57.323954474904845,14.090535018850687,2024-07-01,0.81815,0.77543125,0.04271875,0.84125,0.05206875,0.7694000000000001,0.0701
4048,59.04791508374089,15.09485925899668,2024-06-01,0.79105,0.78686875,0.00418125,0.7296,0.0116249999999999,0.6324000000000001,-0.0031499999999999
4049,56.96487265760843,14.816234615891004,2024-07-01,0.7763,0.7747875000000001,0.0015124999999999,0.7967000000000001,-0.0100312499999999,0.7629,0.02629375
4050,59.29522789655316,18.256022152069285,2024-07-01,0.53715,0.50975,0.0273999999999999,0.43975,-0.04265625,0.45785,0.000725
4051,60.59431236517543,15.714429900279612,2024-07-01,0.77505,0.7999375,-0.0248874999999999,0.7483500000000001,-0.0384812499999999,0.7443000000000001,0.011775
4052,57.17450050631365,13.828793501130864,2024-05-01,0.775,0.6825312499999999,0.0924687500000001,0.66045,-0.018225,0.66045,-0.018225
4053,57.17446927562153,13.827951817845216,2024-05-01,0.775,0.6825312499999999,0.0924687500000001,0.775,0.0924687500000001,0.66045,-0.018225
4054,57.17254160927458,13.82702962900005,2024-05-01,0.7285,0.6716875,0.0568125,0.5609000000000001,-0.0808562499999999,0.5609000000000001,-0.0808562499999999
4055,57.17271677434535,13.826176952375128,2024-05-01,0.7285,0.6716875,0.0568125,0.7285,0.0568125,0.5609000000000001,-0.0808562499999999
4056,57.17519332318609,13.827731220552751,2024-05-01,0.775,0.6825312499999999,0.0924687500000001,0.775,0.0924687500000001,0.775,0.0924687500000001
4057,57.68521502936898,12.927932535045947,2024-06-01,0.76705,0.7508,0.0162499999999999,0.70775,0.0267124999999999,0.641,-0.0140124999999999
4058,59.40953535300732,14.95385002729402,2024-07-01,0.83655,0.81660625,0.01994375,0.8582500000000001,0.03186875,0.7831,0.0226874999999999
4059,66.35007401189704,20.10359830584638,2024-07-01,0.8553000000000001,0.8295750000000001,0.0257249999999999,0.729,-0.05244375,0.6899500000000001,0.110875
4060,59.33115345942931,18.204178468006248,2024-05-01,0.64115,0.61866875,0.02248125,0.5745,0.0690625,0.5745,0.0690625
4061,60.956940145389275,17.05963028641665,2024-07-01,0.8169000000000001,0.81545625,0.00144375,0.7594500000000001,-0.0183375,0.7728,0.0334187499999999
