row_id,Lat,Lon,Date,Kommun,Lan,Quantity,Pressence
4307,59.002116605116164,14.64460013731399,2023-10-17 00:00:00,Laxå,Örebro,1,0
4308,59.0021891863418,14.644684699285635,2023-10-17 00:00:00,Laxå,Örebro,1,0
4309,59.00249480951007,14.644726608029979,2023-10-17 00:00:00,Laxå,Örebro,1,0
4310,59.002439866609734,14.64460664781814,2023-10-17 00:00:00,Laxå,Örebro,1,0
4311,59.00114283642707,14.645137570355786,2023-10-17 00:00:00,Laxå,Örebro,1,0
4312,59.0013014630322,14.689730857199413,2023-10-16 00:00:00,Laxå,Örebro,1,0
4313,59.00409033927694,14.79424487791793,2023-10-16 00:00:00,Hallsberg,Örebro,1,0
4314,59.004059599979556,14.794907056158866,2023-10-16 00:00:00,Hallsberg,Örebro,1,0
4315,59.00554312369932,14.804435042221568,2023-10-16 00:00:00,Hallsberg,Örebro,1,0
4316,59.00692143866912,14.814384544401548,2023-10-16 00:00:00,Hallsberg,Örebro,1,0
4317,59.0072746853794,14.814792066666989,2023-10-16 00:00:00,Hallsberg,Örebro,1,0
4318,59.00785124186938,14.820936449500039,2023-10-16 00:00:00,Hallsberg,Örebro,1,0
4319,59.00425895810728,14.791699221363638,2023-10-13 00:00:00,Hallsberg,Örebro,1,0
4320,59.00709049909195,14.608145218228277,2023-10-11 00:00:00,Laxå,Örebro,1,0
4321,58.9880629621682,14.554639555409967,2023-10-10 00:00:00,Laxå,Örebro,1,0
4322,58.97824017553085,14.504478642207712,2023-10-04 00:00:00,Laxå,Örebro,1,0
4323,58.97209921514805,14.486749723397475,2023-10-04 00:00:00,Laxå,Örebro,1,0
4324,58.972034798130885,14.486595705034233,2023-10-04 00:00:00,Laxå,Örebro,1,0
4325,58.97169287525385,14.486521843460496,2023-10-04 00:00:00,Laxå,Örebro,1,0
4326,58.97197917840142,14.48642396417222,2023-10-04 00:00:00,Laxå,Örebro,1,0
4327,58.972005747990494,14.486388174848877,2023-10-04 00:00:00,Laxå,Örebro,1,0
4328,58.972102697155655,14.486210600185109,2023-10-04 00:00:00,Laxå,Örebro,1,0
4329,59.00612121759634,14.605272510787174,2023-10-04 00:00:00,Laxå,Örebro,1,0
4330,58.999224077616006,14.57918635209994,2023-10-03 00:00:00,Laxå,Örebro,1,0
4331,58.99877442048491,14.566848387806024,2023-10-03 00:00:00,Laxå,Örebro,1,0
4332,58.99831703333924,14.566899626308482,2023-10-03 00:00:00,Laxå,Örebro,1,0
4333,58.998028005561956,14.566718618222342,2023-10-03 00:00:00,Laxå,Örebro,1,0
4334,58.996395072403125,14.56682950608612,2023-10-03 00:00:00,Laxå,Örebro,1,0
4335,58.99597358471209,14.566879450776609,2023-10-03 00:00:00,Laxå,Örebro,1,0
4336,58.995759019087174,14.566974153768026,2023-10-03 00:00:00,Laxå,Örebro,1,0
4337,58.99572128871863,14.566784126843485,2023-10-03 00:00:00,Laxå,Örebro,1,0
4338,58.99561408916517,14.5668401746248,2023-10-03 00:00:00,Laxå,Örebro,1,0
4339,58.99557054604629,14.566980926273464,2023-10-03 00:00:00,Laxå,Örebro,1,0
4340,58.995245951559845,14.56683600619964,2023-10-03 00:00:00,Laxå,Örebro,1,0
4341,58.99423145413921,14.566837667628668,2023-10-03 00:00:00,Laxå,Örebro,1,0
4342,58.99600264150657,14.571802199966884,2023-10-03 00:00:00,Laxå,Örebro,1,0
4343,58.99603171818505,14.754100592857824,2023-10-12 00:00:00,Hallsberg,Örebro,1,0
4344,58.99628055360398,14.754893317685909,2023-10-12 00:00:00,Hallsberg,Örebro,1,0
4345,59.02073447701251,14.894579101691209,2023-10-10 00:00:00,Hallsberg,Örebro,1,0
4346,59.020184542085964,14.89170360778393,2023-10-10 00:00:00,Hallsberg,Örebro,1,0
4347,59.01343482386723,14.90084705989789,2023-10-10 00:00:00,Hallsberg,Örebro,1,0
4348,59.01729166598443,14.91589104587382,2023-10-09 00:00:00,Hallsberg,Örebro,1,0
4349,59.02043184322915,14.91953563911913,2023-10-09 00:00:00,Hallsberg,Örebro,1,0
4350,59.02566177297729,14.930841105539928,2023-10-05 00:00:00,Hallsberg,Örebro,1,0
4351,58.97643973171137,14.496878039038084,2023-10-04 00:00:00,Laxå,Örebro,1,0
4352,58.97405280788129,14.493456264566175,2023-10-04 00:00:00,Laxå,Örebro,1,0
4353,58.998037098205,14.706939974495453,2023-10-05 00:00:00,Laxå,Örebro,1,0
4354,59.029917996130806,14.923035612390255,2023-11-21 00:00:00,Hallsberg,Örebro,1,0
4355,59.02587538827941,14.931897851725958,2023-11-21 00:00:00,Hallsberg,Örebro,1,0
4356,59.02310236046832,14.924098318676474,2023-11-14 00:00:00,Hallsberg,Örebro,1,0
4357,58.99804297282242,14.70657440416336,2023-11-07 00:00:00,Laxå,Örebro,1,0
4358,58.99655205664574,14.692842363100086,2023-11-07 00:00:00,Laxå,Örebro,1,0
4359,58.996916589422135,14.690342584887489,2023-11-07 00:00:00,Laxå,Örebro,1,0
4360,58.99648144392839,14.690896016744556,2023-11-07 00:00:00,Laxå,Örebro,1,0
4361,58.99638945334147,14.6916819198556,2023-11-07 00:00:00,Laxå,Örebro,1,0
4362,58.99631645552435,14.692588993835688,2023-11-07 00:00:00,Laxå,Örebro,1,0
4363,58.97708978483058,14.496349088409584,2023-11-07 00:00:00,Laxå,Örebro,1,0
4364,58.97623259713885,14.493269020501154,2023-11-07 00:00:00,Laxå,Örebro,1,0
4365,58.972008937112506,14.48670101405958,2023-11-07 00:00:00,Laxå,Örebro,1,0
